track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
6882173,Conex��es de M��fia (feat. Rich,"Rich The Kid, Matu�",2,2023,4,30,385,4,77233241
1397395,MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629
3475077,Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907
6778924,X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541
7653113,ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992
8571641,Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964
7517093,I AM,IVE,1,2023,4,10,366,15,123132751
6161550,Cupid ��� Twin Ver. (FIFTY FIFTY) ��� Spe,sped up 8282,1,1997,1,1,472,2,103762518
4823840,Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075
4502825,Super,SEVENTEEN,1,2023,4,24,271,12,91221625
8297242,Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915
2264316,Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277
4117642,All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616
6966778,PROVENZA,Karol G,1,2022,4,21,6587,34,885093467
5442505,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946
7230461,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338
1774478,Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087
5088165,Igualito a Mi Ap�,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978
3546474,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644
4389214,Komang,Raim Laode,1,2022,8,16,158,4,137123880
5757514,DESPECH�,ROSAL�,1,2022,7,28,7613,33,782369383
4257818,Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952
2313207,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255
3132809,No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295
8471078,Punto G,Quevedo,1,2022,11,4,1985,35,381161027
8987545,Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982
6158916,METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552
4916659,Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704
6744187,En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403
8513259,Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603
6029543,I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769
4603662,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215
5904115,Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240
2339996,Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600
6387600,Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467
7881394,Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354
2084763,Rosa Pastel,"Jasiel Nu��ez, Peso P",2,2023,2,2,200,4,90025258
5555264,Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649
6766942,Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958
4238748,Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831
2484929,Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671
6619922,People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024
7989475,REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995
